,model,extension,location,working_hours,price,const_year
405,320,D,NL,10789,46800,2008
406,320,C,NL,14900,41900,2002
407,320,E,DE,7200,77000,2014
408,320,C,NL,16105,41950,2003
409,320,D,RU,7153,101912,2017
410,320,D,RU,5423,108861,2017
411,320,E,LV,8550,77000,2015
412,320,F,DE,3559,115000,2016
413,320,E,NL,10688,61800,2013
414,320,E,GB,9381,66658,2015
415,320,E,NO,2000,78299,2015
416,320,E,NL,5061,82900,2016
417,320,E,LT,10579,85000,2014
418,320,E,NO,10330,74725,2013
419,320,E,DE,10618,65000,2014
420,320,E,BE,8137,69000,2015
421,320,D,TR,11500,59000,2012
422,320,C,GB,13495,51783,2006
423,320,E,PT,8500,85000,2015
424,320,E,NO,7450,78598,2015
425,320,D,NL,2722,82800,2019
426,320,E,DE,7400,79000,2014
427,320,E,CH,4184,112107,2015
428,320,C,DE,16000,43000,2004
429,320,D,TR,11000,52000,2008
430,320,E,GB,11180,70273,2015
431,320,E,FI,7300,109800,2013
432,320,E,LV,10300,52750,2012
433,320,F,FI,5647,110000,2017
434,320,F,HU,2300,120000,2017
435,320,NG,UK,6719,89249,2018
436,320,E,PL,6990,95833,2015
437,320,E,PL,9990,76666,2013
438,320,F,FR,4440,135000,2016
439,320,NG,PL,2664,132000,2018
440,320,NG,PL,2755,122000,2019
441,320,D,GB,11054,53033,2008
442,320,D,TR,13000,52000,2011
443,320,E,PL,14725,137000,2013
444,320,D3,NL,3713,78900,2019
445,320,E,FR,6304,94000,2013
446,320,E,NL,10781,66000,2013
447,320,D,NL,8221,49750,2013
448,320,D,NL,9690,47000,2011
449,320,D,NL,10650,57000,2010
450,320,E,BE,11100,56500,2012
451,320,E,PL,10563,62280,2015
452,320,E,PL,7900,76000,2015
453,320,D,PL,20392,58000,2011
454,320,E,PL,6006,59700,2011
455,320,C,PL,7200,35500,2005
456,320,E,PL,6226,83750,2015
457,320,E,PL,7789,83540,2016
458,320,E,DE,1400,88500,2018
459,320,NG,DE,1940,119500,2018
460,320,F,DE,6821,84000,2017
461,320,E,DE,6386,79900,2014
462,320,E,NL,10078,59800,2014
463,320,NG,DE,1298,149500,2019
464,320,D2,BE,2350,80000,2016
465,320,D2,BE,14914,10000,2013
466,320,NG,NL,954,97800,2018
467,320,NG,NL,2710,89800,2018
468,320,E,NL,6437,79800,2016
469,320,D,NL,12661,45800,2008
470,320,D,FR,10416,13899,2008
471,320,D,NL,9103,45000,2008
472,320,D,TR,9172,73900,2014
473,320,E,UA,6872,84500,2015
474,320,C,NL,13597,34800,2005
475,320,E,DE,7520,69000,2014
476,320,NG,GE,268,170790,2020
477,320,E,HU,6500,79500,2016
478,320,D,PL,20000,41000,2011
479,320,D,FR,8700,84000,2011
480,320,D,RO,9000,42900,2011
481,320,F,DE,5000,19500,2016
482,320,E,DE,8900,62900,2013
483,320,E,PL,4400,110000,2013
484,320,E,PL,2459,84127,2015
485,320,E,HU,10895,82750,2014
486,320,E,FR,5800,90000,2015
487,320,D,PL,5600,75000,2010
488,320,D3,NL,2799,84900,2018
489,320,C,NL,9547,42000,2005
490,320,C,NL,10312,42000,2006
491,320,E,CH,6771,81203,2014
492,320,E,DE,8388,85000,2014
493,320,E,DE,5968,120000,2014
494,320,D,DE,10517,51000,2007
495,320,NG,DE,2000,105000,2017
496,320,F,DE,8091,85000,2016
497,320,NG,DE,3869,149000,2018
498,320,NG,DE,3308,155000,2018
499,320,E,NO,7804,85019,2014
500,320,NG,SE,900,174554,2019
501,320,NG,HU,1346,129900,2019
502,320,D2,NL,8839,66500,2017
503,320,E,UA,5888,110000,2015
504,320,F,PL,2225,135000,2017
505,320,F,FI,3738,126800,2016
506,320,E,SE,3950,107579,2014
507,320,E,BE,6761,65950,2013
508,320,E,NO,9346,73165,2011
509,320,E,PL,8000,69972,2014
510,320,E,SE,4322,120607,2015
511,320,E,FI,10800,89000,2015
512,320,E,SE,8463,76888,2015
513,320,NG,UK,765,105149,2018
514,320,D2,NL,4065,84800,2018
515,320,C,NL,9197,44000,2003
516,320,D,UA,7983,69000,2012
517,320,C,NL,13369,46900,2003
518,320,E,PL,3093,97876,2014
519,320,E,EE,5273,79000,2015
520,320,E,PL,6771,73898,2015
521,320,E,FR,10684,55000,2013
522,320,C,HU,16950,36600,2002
523,320,E,RO,4670,93000,2014
524,320,E,EE,7236,76900,2015
525,320,E,PL,7632,84361,2016
526,320,E,PL,7176,76078,2015
527,320,E,ES,4841,92000,2015
528,320,D2,RU,9470,81329,2016
529,320,D,PT,8000,40700,2007
530,320,NG,PL,2170,133000,2019
531,320,C,NL,14613,41800,2005
532,320,F,SE,2956,154729,2016
533,320,F,PL,4662,86977,2017
534,320,NG,PL,2239,136000,2018
535,320,D,PL,14000,45000,2011
536,320,E,PL,12095,62980,2013
537,320,D,FR,8822,62000,2011
538,320,C,PL,18730,38650,2007
539,320,E,FR,7370,74500,2012
540,320,E,FR,6600,75000,2016
541,320,F,FR,1800,124000,2017
542,320,D2,BE,5423,110000,2017
543,320,E,EE,8521,80000,2012
544,320,E,PL,8287,74000,2015
545,320,E,PL,7549,78000,2016
